Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Latitude;Longitude;Nom communes équipées
18111;Félix Ziem - Armand Gauthier;SANN;25;24;1;0;1;SANN;SANN;2022-10-05;48,8894963;2,333393659;Paris
21216;Louis Lejeune - Barbès;SANN;25;21;4;1;3;SANN;SANN;2022-10-05;48,81807419;2,326700985;Montrouge
48003;Youri Gagarine - Karl Marx;SANN;22;19;3;0;3;SANN;SANN;2022-10-05;48,78448485;2,359084301;Villejuif
22207;Rond-point du Dr Albert Schweitzer;SANN;22;6;16;11;5;SANN;SANN;2022-10-05;48,78980919;2,314394005;Bagneux
16110;Octave Feuillet - Albéric Magnard;SANN;21;8;13;6;7;SANN;SANN;2022-10-05;48,86106903;2,273028307;Paris
6029;Vaugirard - Monsieur le Prince;SANN;26;9;17;5;12;SANN;SANN;2022-10-05;48,84895144;2,341132946;Paris
18134;Ney - Porte de Clignancourt;SANN;25;24;1;1;0;SANN;SANN;2022-10-05;48,8978867;2,3458001;Paris
17048;De Toqueville - Terrasse;SANN;30;24;6;4;2;SANN;SANN;2022-10-05;48,882428;2,314002;Paris
14002;Edgar Quinet - Raspail;SANN;46;41;5;3;2;SANN;SANN;2022-10-05;48,83940267;2,329714783;Paris
44017;Jules Guesde - Pont du Port à l'Anglais;SANN;30;0;28;24;4;SANN;SANN;2022-10-05;48,79628807;2,417212129;Vitry-sur-Seine
9014;Faubourg Montmartre - La Fayette;SANN;35;18;16;10;6;SANN;SANN;2022-10-05;48,87525455;2,340853661;Paris
16118;Michel-Ange - Parent de Rosan;SANN;26;24;1;1;0;SANN;SANN;2022-10-05;48,84057992;2,258411944;Paris
9001;Bellefond - Poissonnière;SANN;17;14;2;1;1;SANN;SANN;2022-10-05;48,87759897;2,348463759;Paris
9008;Tour d'Auvergne - Rodier;SANN;17;15;1;0;1;SANN;SANN;2022-10-05;48,879161;2,343698;Paris
8016;Square Louis XVI;SANN;29;1;28;16;12;SANN;SANN;2022-10-05;48,8732044;2,323658831;Paris
8103;Artois - Berri;SANN;23;0;23;15;8;SANN;SANN;2022-10-05;48,87393521;2,306425832;Paris
10029;Dunkerque - Rocroy;SANN;24;18;2;2;0;SANN;SANN;2022-10-05;48,880726;2,351464;Paris
8048;Marceau - Chaillot;SANN;21;3;17;0;17;SANN;SANN;2022-10-05;48,86883395;2,298996784;Paris
5005;Gay Lussac - Saint-Jacques;SANN;24;3;21;5;16;SANN;SANN;2022-10-05;48,84473026;2,341923945;Paris
13118;Regnault - Patay;SANN;63;20;42;33;9;SANN;SANN;2022-10-05;48,82435782;2,377065159;Paris
7018;Ségur - d'Estrées;SANN;19;4;14;11;3;SANN;SANN;2022-10-05;48,85141998;2,309704497;Paris
7011;Las Cases - Bourgogne;SANN;22;1;21;17;4;SANN;SANN;2022-10-05;48,8590911;2,318568528;Paris
9002;Abbeville - Faubourg Poissonnière;SANN;14;13;1;0;1;SANN;SANN;2022-10-05;48,879223;2,349147;Paris
43009;Place Jean-Spire-Lemaître;SANN;50;47;3;0;3;SANN;SANN;2022-10-05;48,84684286;2,45206207;Vincennes
8053;Place Georges Guillaumin;SANN;29;3;26;9;17;SANN;SANN;2022-10-05;48,8747502;2,301771435;Paris
17032;Jean Oestreicher - Porte de Champerret;SANN;21;19;2;1;1;SANN;SANN;2022-10-05;48,8865558;2,28864044;Paris
17040;Pereire - Ternes;SANN;48;38;10;5;5;SANN;SANN;2022-10-05;48,87973955;2,288012132;Paris
10162;Alexandre Parodi - Quai de Valmy;SANN;24;21;1;0;1;SANN;SANN;2022-10-05;48,87935942;2,366596162;Paris
19105;Ambroise Rendu - Porte Brunet;SANN;17;17;0;0;0;SANN;SANN;2022-10-05;48,883667;2,395733;Paris
10115;Granges aux Belles;SANN;27;23;4;1;3;SANN;SANN;2022-10-05;48,87613734;2,368084498;Paris
31103;Gare Rosny-Bois-Perrier;SANN;36;34;1;0;1;SANN;SANN;2022-10-05;48,88115023;2,480436824;Rosny-sous-Bois
10161;Gare de l'Est - Faubourg-Saint-Martin;SANN;32;30;1;0;1;SANN;SANN;2022-10-05;48,87564265;2,359458804;Paris
15112;Vigée-Lebrun - Anselme Payen;SANN;24;21;3;0;3;SANN;SANN;2022-10-05;48,83868394;2,311042249;Paris
41303;Gare de Nogent-le-Perreux;SANN;32;21;11;5;6;SANN;SANN;2022-10-05;48,83842553;2,493693307;Nogent-sur-Marne
22409;Henri Barbusse - Stalingrad;SANN;16;14;1;0;1;SANN;SANN;2022-10-05;48,81418375;2,287286259;Malakoff
12031;Gabriel Lamé;SANN;36;16;19;14;5;SANN;SANN;2022-10-05;48,83512128;2,38553457;Paris
5020;Institut du Monde Arabe - Saint-Germain;SANN;40;2;36;35;1;SANN;SANN;2022-10-05;48,8490633;2,355808653;Paris
5022;Boulangers - Cardinal Lemoine;SANN;20;16;4;2;2;SANN;SANN;2022-10-05;48,8462904;2,3521495;Paris
31706;Château - République;SANN;26;0;0;0;0;USANN;USANN;2022-09-20;48,8629238;2,415503561;Bagnolet
9106;Boudreau - Auber;SANN;14;2;9;7;2;SANN;SANN;2022-10-05;48,87219;2,329423;Paris
9022;Rossini - Laffitte;SANN;33;1;32;16;16;SANN;SANN;2022-10-05;48,87334628;2,337980868;Paris
9038;Douai - Bruxelles;SANN;27;27;0;0;0;SANN;SANN;2022-10-05;48,88320784;2,330844995;Paris
